time/iterations,custom/cycle,rollout/ep_rew_mean,time/time_elapsed,custom/env,custom/agent_name,time/total_timesteps,rollout/ep_len_mean,time/fps,custom/seed,custom/agent_type,custom/pamdp_timestep,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
1,59,0.34888261,8,"Platform-v0","PPO-PPO",122880,4.05,233,1,"discrete",241664,0.009221373,0.02314453125,0.0003,0.0035325223580002785,0.2,590,-0.025806705033392063,0.927012525498867,0.04195621255857986,0.0007429886773934413
1,60,0.3508900300000001,9,"Platform-v0","PPO-PPO",124928,4.04,220,1,"discrete",245760,0.0042843325,0.013916015625,0.0003,-0.00041148156742565334,0.2,600,-0.01696381444689905,0.9190278202295303,0.011660117789870129,0.0005197227319285958
1,61,0.30414403,7,"Platform-v0","PPO-PPO",126976,3.94,258,1,"discrete",249856,0.20522803,0.16240234375,0.0003,-0.005540294107049704,0.2,610,-0.13743911986148305,0.9504566229879856,0.26385069263342303,0.0003809319923561816
1,62,0.34678262000000004,8,"Platform-v0","PPO-PPO",129024,4.0,233,1,"discrete",253952,0.2590461,0.147998046875,0.0003,-0.022292297333478928,0.2,620,-0.06459194185445086,0.5988257825374603,-0.030553840918582865,0.004316763154929504
1,63,0.31146268,7,"Platform-v0","PPO-PPO",131072,4.02,270,1,"discrete",258048,0.41230482,0.109765625,0.0003,0.0038684785831719637,0.2,630,-0.08805416397372028,0.7706378847360611,0.35985145489757997,0.001957479495058578
1,64,0.34841385,8,"Platform-v0","PPO-PPO",133120,3.97,243,1,"discrete",262144,0.5701945,0.2275390625,0.0003,-0.03502018377184868,0.2,640,-0.04642075303418096,0.7085829675197601,-0.04216884910129011,0.003227685173624195
1,65,0.3595169700000001,8,"Platform-v0","PPO-PPO",135168,4.0,245,1,"discrete",266240,0.006404536,0.009228515625,0.0003,7.48326419852674e-05,0.2,650,-0.01346553708681313,0.8173135668039322,-0.0052894188411301,0.0011618485535791478
1,66,0.32253601000000004,7,"Platform-v0","PPO-PPO",137216,4.0,287,1,"discrete",270336,0.18939452,0.182080078125,0.0003,-0.05892487242817879,0.2,660,-0.11122364463262784,0.984253790229559,0.0035175024764612316,9.196786433847137e-05
1,67,0.35737198,8,"Platform-v0","PPO-PPO",139264,3.97,247,1,"discrete",274432,1.1720558,0.23330078125,0.0003,-0.058223992586135864,0.2,670,-0.008337811276675211,0.755081832408905,-0.05005617447313852,0.0029224051329947544
1,68,0.35973848,8,"Platform-v0","PPO-PPO",141312,4.0,239,1,"discrete",278528,0.02484307,0.012451171875,0.0003,0.0004967777640558779,0.2,680,-0.007534486578555289,0.9593030922114849,-0.008192969368974446,0.00033468703863093197
