time/total_timesteps,custom/cycle,rollout/ep_rew_mean,time/iterations,custom/pamdp_timestep,custom/seed,time/time_elapsed,custom/agent_name,time/fps,custom/agent_type,custom/env,rollout/ep_len_mean,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/loss
94208,45,-6.172036309999998,1,186368,1,3,"PPO-PPO",524,"continuous","Goal-v0",1.19,-5.1665779769420626,0.1905321478843689,450,0.013274972,0.8824432492256165,-0.00289532568276627,0.0003,0.2,105.70508524775505,0.119677734375,62.6732177734375
96256,46,-5.4262701400000015,1,190464,1,3,"PPO-PPO",543,"continuous","Goal-v0",1.14,-5.143592828512192,0.23339754343032837,460,0.012244422,0.8788917064666748,-0.008969818897458025,0.0003,0.2,119.74422829151153,0.144677734375,48.373138427734375
98304,47,-5.895108120000001,1,194560,1,3,"PPO-PPO",526,"continuous","Goal-v0",1.18,-5.118313218653202,0.23061788082122803,470,0.011537412,0.8740141987800598,-0.0013101678843668197,0.0003,0.2,118.89997446537018,0.085546875,58.319419860839844
100352,48,-5.8072674300000005,1,198656,1,3,"PPO-PPO",526,"continuous","Goal-v0",1.2,-5.084461186826229,0.21853315830230713,480,0.0072550634,0.8646586537361145,-0.0027106657122203614,0.0003,0.2,118.7949159115553,0.09140625,45.11693572998047
102400,49,-5.85322854,1,202752,1,3,"PPO-PPO",531,"continuous","Goal-v0",1.21,-5.0352618709206585,0.19763463735580444,490,0.00820654,0.8544104099273682,-0.002668617221934255,0.0003,0.2,122.3118918299675,0.1240234375,144.0413360595703
104448,50,-7.054077980000001,1,206848,1,3,"PPO-PPO",531,"continuous","Goal-v0",1.25,-5.009669585525989,0.2364405393600464,500,0.011472275,0.8552367687225342,-0.004688454708593781,0.0003,0.2,121.28711441159248,0.111474609375,76.10139465332031
106496,51,-6.876164169999998,1,210944,1,3,"PPO-PPO",539,"continuous","Goal-v0",1.13,-5.001032450795174,0.19151383638381958,510,0.009156179,0.8522605895996094,-0.0028580182610312478,0.0003,0.2,117.97192393541336,0.108837890625,64.3089828491211
108544,52,-3.6924959699999995,1,215040,1,3,"PPO-PPO",564,"continuous","Goal-v0",1.27,-4.9756328269839285,0.23527830839157104,520,0.0063878098,0.8458064794540405,-0.0022130557299533393,0.0003,0.2,111.93993437588215,0.120947265625,24.679397583007812
110592,53,-7.00983098,1,219136,1,3,"PPO-PPO",523,"continuous","Goal-v0",1.28,-4.946882510185242,0.22308611869812012,530,0.009433711,0.8398618698120117,-0.002209772277274169,0.0003,0.2,115.08360962569714,0.113671875,42.74875259399414
112640,54,-4.94604314,1,223232,1,3,"PPO-PPO",513,"continuous","Goal-v0",1.24,-4.916196872293949,0.220900297164917,540,0.012782041,0.8342730402946472,-0.003851782778656343,0.0003,0.2,143.64713277816773,0.138330078125,68.19861602783203
114688,55,-5.3484186,1,227328,1,3,"PPO-PPO",530,"continuous","Goal-v0",1.17,-4.876811952888966,0.2298855185508728,550,0.008330813,0.8282480239868164,-0.004138319558114745,0.0003,0.2,117.2222265779972,0.118017578125,35.547019958496094
116736,56,-5.38029148,1,231424,1,3,"PPO-PPO",548,"continuous","Goal-v0",1.14,-4.835937322676182,0.2177538275718689,560,0.013007909,0.8182933330535889,-0.004794832985498943,0.0003,0.2,117.70571349263192,0.1447265625,23.92595672607422
118784,57,-5.43024271,1,235520,1,4,"PPO-PPO",505,"continuous","Goal-v0",1.26,-4.78119243234396,0.24560940265655518,570,0.008937601,0.810614824295044,-0.00633038838604989,0.0003,0.2,103.27082891464234,0.14296875,47.81047058105469
120832,58,-4.13071453,1,239616,1,3,"PPO-PPO",537,"continuous","Goal-v0",1.21,-4.74867113083601,0.24258345365524292,580,0.0103439335,0.8074542284011841,-0.0025129016124992632,0.0003,0.2,138.87028764784336,0.133447265625,54.35934066772461
122880,59,-5.96696479,1,243712,1,3,"PPO-PPO",519,"continuous","Goal-v0",1.18,-4.725279493629932,0.22571074962615967,590,0.012113671,0.8059059381484985,-0.002225638009258546,0.0003,0.2,133.076168012619,0.14375,50.263282775878906
124928,60,-6.5220641599999984,1,247808,1,4,"PPO-PPO",502,"continuous","Goal-v0",1.21,-4.710297697782517,0.23582708835601807,600,0.009900626,0.8041079044342041,-0.0009937404181982856,0.0003,0.2,134.5907712638378,0.111376953125,39.3685188293457
126976,61,-4.20962952,1,251904,1,4,"PPO-PPO",501,"continuous","Goal-v0",1.25,-4.689511905610561,0.24429261684417725,610,0.013169896,0.8030382990837097,-0.0018237082957057282,0.0003,0.2,145.73696379065512,0.167138671875,97.28504943847656
129024,62,-4.04719911,1,256000,1,3,"PPO-PPO",558,"continuous","Goal-v0",1.27,-4.666333900392056,0.266803503036499,620,0.012859707,0.7987645268440247,-0.00200818050034286,0.0003,0.2,125.85883768200874,0.139208984375,80.05699157714844
131072,63,-3.329697499999999,1,260096,1,4,"PPO-PPO",505,"continuous","Goal-v0",1.27,-4.631761237978935,0.2869342565536499,630,0.009381183,0.7935235500335693,-0.0024291634832479757,0.0003,0.2,167.64615099430085,0.11650390625,81.22685241699219
133120,64,-5.705670120000001,1,264192,1,3,"PPO-PPO",536,"continuous","Goal-v0",1.26,-4.589690554141998,0.29032695293426514,640,0.007954958,0.7849303483963013,-0.0027965257737378123,0.0003,0.2,145.33450843691827,0.131201171875,103.21855926513672
135168,65,-4.36290469,1,268288,1,3,"PPO-PPO",540,"continuous","Goal-v0",1.28,-4.567191934585571,0.2844553589820862,650,0.009668892,0.7878439426422119,5.578857671935111e-05,0.0003,0.2,143.00720161795616,0.121435546875,104.84043884277344
137216,66,-5.401421140000001,1,272384,1,3,"PPO-PPO",514,"continuous","Goal-v0",1.19,-4.5619270101189615,0.27986085414886475,660,0.008498689,0.786399245262146,-0.0004099363133718725,0.0003,0.2,135.28535196781158,0.1103515625,68.27367401123047
139264,67,-7.260272530000001,1,276480,1,3,"PPO-PPO",517,"continuous","Goal-v0",1.24,-4.512367179989814,0.27641576528549194,670,0.014803767,0.7729110717773438,2.6389128470327707e-05,0.0003,0.2,135.80027126073838,0.139697265625,84.08126068115234
141312,68,-3.592131850000001,1,280576,1,4,"PPO-PPO",454,"continuous","Goal-v0",1.2,-4.466688705980777,0.3243796229362488,680,0.007724724,0.7727352380752563,-0.001051249268493848,0.0003,0.2,127.23472270965576,0.1375,83.15181732177734
143360,69,-3.3146616,1,284672,1,4,"PPO-PPO",510,"continuous","Goal-v0",1.26,-4.463920579850674,0.3083633780479431,690,0.0071345987,0.7732316255569458,-0.0014860286813927815,0.0003,0.2,143.2762639760971,0.100830078125,45.8546257019043
145408,70,-5.827242839999999,1,288768,1,3,"PPO-PPO",514,"continuous","Goal-v0",1.19,-4.4685743123292925,0.30864471197128296,700,0.013513794,0.777877688407898,-0.002717329239385435,0.0003,0.2,157.57822734117508,0.1107421875,113.89861297607422
147456,71,-5.01156353,1,292864,1,3,"PPO-PPO",545,"continuous","Goal-v0",1.21,-4.478621895611286,0.20999211072921753,710,0.014404083,0.7810095548629761,0.0001017512819089461,0.0003,0.2,135.38821209073066,0.1341796875,26.157445907592773
