custom/env,custom/agent_name,custom/seed,rollout/ep_rew_mean,time/total_timesteps,custom/agent_type,time/iterations,rollout/ep_len_mean,time/fps,custom/pamdp_timestep,custom/cycle,time/time_elapsed,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss
"Platform-v0","PPO-PPO",1,0.37260127,174080,"discrete",1,4.0,236,344064,28,8,0.2,0.9671686962246895,0.0,-8.312141289934516e-07,840,0.00015459534188266844,0.0,0.0003,0.00032745784061916083,-0.0003773738175823382
,,,0.3740466,176128,"discrete",2,4.0,232,346112,,17,0.2,0.9812695309519768,0.0,-1.6060548659879714e-06,850,8.835231710691005e-07,0.0,0.0003,0.00017793235612018066,-0.000481978023526608
,,,0.37282257,178176,"discrete",3,4.0,230,348160,,26,0.2,0.9780635349452496,0.0,-1.4813210509601048e-05,860,0.0002475267101544887,1.7610728e-07,0.0003,0.00020965452523284965,-0.0011015568771654215
"Platform-v0","PPO-PPO",1,0.37442515,180224,"discrete",1,4.0,231,356352,29,8,0.2,0.9722784385085106,0.0009765625,-0.0015545313024631468,870,-7.41240510251373e-05,0.003188601,0.0003,0.00023399389214660005,-0.0008615624484264117
,,,0.37225567999999987,182272,"discrete",2,4.0,226,358400,,18,0.2,0.9727581758052111,0.0,-3.938817826565355e-07,880,0.00020887985010631382,0.0,0.0003,0.0002681708200235278,-0.0004343739288742654
,,,0.3748891200000001,184320,"discrete",3,4.0,226,360448,,27,0.2,0.9664001129567623,0.0,-5.034780770074576e-07,890,0.0004708442138507962,0.0,0.0003,0.0003209613408692746,-0.0005191074697904696
"Platform-v0","PPO-PPO",1,0.3706052199999999,186368,"discrete",1,4.0,205,368640,30,9,0.2,0.9561916589736938,0.0,-8.308379619847984e-08,900,0.0002077907556667924,0.0,0.0003,0.00044298123439006075,-0.0005322459569470084
,,,0.3719156000000001,188416,"discrete",2,4.0,214,370688,,19,0.2,0.9586804769933224,0.0,-1.1816366168204695e-06,910,0.0003535975993145257,0.0,0.0003,0.0004122691464743866,-0.000430622282465265
,,,0.37231297999999996,190464,"discrete",3,4.0,216,372736,,28,0.2,0.9444256387650967,0.0,-6.39085192233324e-07,920,5.6336384659516625e-06,0.0,0.0003,0.0005414501900162349,-0.0004288181886749953
"Platform-v0","PPO-PPO",1,0.32399909,192512,"discrete",1,3.99,274,380928,31,7,0.2,0.9580137655138969,0.011865234375,-0.0009932394976203795,930,-0.009460368193686008,0.011372126,0.0003,0.00041354704930967044,-0.010846026511353557
,,,0.34323432000000004,194560,"discrete",2,4.0,254,382976,,16,0.2,0.7194502055644989,0.242578125,-0.04802507814601995,940,-0.028211776167154312,0.054873284,0.0003,0.004019322044041473,-0.07405977983144112
,,,0.36989361000000004,196608,"discrete",3,4.0,243,385024,,25,0.2,0.7864680886268616,0.181787109375,-0.03524555652402341,950,-0.03218910098075867,0.19046107,0.0003,0.002448608056511148,-0.06183760312851518
