time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,custom/pamdp_timestep,custom/agent_type,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates
1,135168,4.0,0.36869280000000004,266240,"discrete",238,8,0.0,0.972587214782834,1.3271347e-08,0.0002618720139096808,0.00010714437667047605,0.2,-0.000788012485645595,-2.671331458259374e-06,0.0003,650
2,137216,4.0,0.373251,268288,"discrete",241,16,0.0,0.9805739261209965,8.381903e-09,0.00017661279123899477,8.714365685591474e-05,0.2,-0.0008486053922752035,-2.0915133063681425e-06,0.0003,660
3,139264,3.99,0.36846916999999996,270336,"discrete",244,25,0.005078125,0.9899692349135876,0.0013328193,9.138198563718447e-05,-8.501279808115214e-05,0.2,-0.00489235821969487,-0.0008384553573705488,0.0003,670
4,141312,4.0,0.3733478,272384,"discrete",246,33,0.009619140625,0.9462629072368145,0.001391525,0.000496011548484887,-0.02484564669430256,0.2,-0.0043287867549224755,-0.00465738313687325,0.0003,680
5,143360,4.0,0.3747262800000001,274432,"discrete",236,43,0.001953125,0.9543873742222786,0.010335285,0.00044595579141173405,-6.986293010413647e-05,0.2,-0.0032126588475875906,-0.007202158030122518,0.0003,690
1,145408,4.0,0.36868201000000006,286720,"discrete",272,7,0.00087890625,0.9699555523693562,0.00096044806,0.0002647415077660753,0.00016208823944907635,0.2,-0.003933577700445312,-0.0006603696441743523,0.0003,700
2,147456,4.0,0.37359702,288768,"discrete",269,15,0.0,0.9617542251944542,2.9766234e-06,0.0003785954666540192,-0.00022772305237594992,0.2,-0.004873364093509735,-1.7588449554750697e-05,0.0003,710
3,149504,3.43,0.20773486000000002,290816,"discrete",316,19,0.414404296875,0.9750515222549438,0.114627704,0.0002046865676817333,-0.037662528455257416,0.2,-0.27729086037143136,0.7239751551656809,0.0003,720
4,151552,3.56,0.27078753,292864,"discrete",319,25,0.398779296875,0.1620488166809082,0.04474713,0.0072576861159177495,-0.08417189866304398,0.2,-0.4773050882853568,-0.0730332797364099,0.0003,730
5,153600,3.53,0.26713258,294912,"discrete",320,31,0.361962890625,0.22085469961166382,0.028122053,0.008364924650231842,-0.05580024793744087,0.2,-0.44614974930882456,-0.0582591250364203,0.0003,740
1,155648,3.7,0.31689751,307200,"discrete",313,6,0.27626953125,0.3481687307357788,0.038263045,0.00787059381545987,-0.07771435379981995,0.2,-0.3351628991309553,-0.059399283624952656,0.0003,750
2,157696,3.9,0.34860038000000004,309248,"discrete",294,13,0.216650390625,0.40443354845046997,0.033909135,0.006253678105713334,-0.07143934071063995,0.2,-0.18603817392140626,-0.05017450345039833,0.0003,760
3,159744,3.97,0.36341262,311296,"discrete",282,21,0.050927734375,0.6770336627960205,0.027186755,0.0031552507027299724,-0.0443488173186779,0.2,-0.09122241586446762,-0.02361047339218203,0.0003,770
4,161792,4.0,0.37128713999999996,313344,"discrete",276,29,0.010302734375,0.8925125822424889,0.0074748425,0.0008479811960683037,0.0029569570906460285,0.2,-0.03685980360605754,-0.00773949380236445,0.0003,780
5,163840,4.0,0.37243602000000003,315392,"discrete",272,37,0.00361328125,0.9709356594830751,0.0001563805,0.0002622280292911228,0.00026117259403690696,0.2,-0.020752770395483823,-0.0021673068367817905,0.0003,790
1,165888,4.0,0.37492042999999997,327680,"discrete",267,7,0.000634765625,0.9732262399047613,3.078967e-05,0.0002620402505584707,3.684094554046169e-05,0.2,-0.016536058241035788,-0.00025242880801670255,0.0003,800
2,167936,4.0,0.37407536,329728,"discrete",264,15,0.000439453125,0.9653227590024471,0.00072537677,0.0003281414204323596,-8.265869109891355e-05,0.2,-0.006544590496923774,-0.000791100430797087,0.0003,810
3,169984,4.0,0.3729852200000001,331776,"discrete",261,23,0.000439453125,0.9617243818938732,0.00010367774,0.0003767230568286095,-0.013561203144490719,0.2,-0.002901751119497931,-0.0001787238536053337,0.0003,820
4,172032,4.0,0.37252072,333824,"discrete",258,31,0.000439453125,0.9633809365332127,8.862477e-05,0.0003572354458995619,-4.478295159060508e-05,0.2,-0.0019773881536821135,-0.0006281341578869615,0.0003,830
5,174080,4.0,0.3725552499999999,335872,"discrete",259,39,0.000439453125,0.9700584020465612,8.157955e-05,0.0002934485871421089,7.497937986045144e-07,0.2,-0.001772584461286897,-4.491961444728076e-05,0.0003,840
