time/iterations,custom/cycle,rollout/ep_rew_mean,time/time_elapsed,custom/env,custom/agent_name,time/total_timesteps,rollout/ep_len_mean,time/fps,custom/seed,custom/agent_type,custom/pamdp_timestep,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/std,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
1,68,0.31372318,7,"Platform-v0","PPO-PPO",141312,4.0,290,1,"continuous",280576,0.016303485,0.180810546875,0.0003,-0.0036326549015939236,0.2,0.8143296837806702,680,-3.4004113279283046,0.9714429546147585,-0.009524763415538474,0.000208156268121229
1,69,0.36232904000000005,8,"Platform-v0","PPO-PPO",143360,3.99,238,1,"continuous",284672,0.0132418815,0.134033203125,0.0003,-0.016349902376532555,0.2,0.8050093054771423,690,-3.3632740177214147,0.7534115165472031,-0.007841806623036972,0.002968099793361034
1,70,0.36403081,8,"Platform-v0","PPO-PPO",145408,4.0,240,1,"continuous",288768,0.019305468,0.210595703125,0.0003,-0.032710131257772446,0.2,0.8100314736366272,700,-3.3571857511997223,0.9690641574561596,-0.003466300730360672,0.0003055617329906113
1,71,0.30209243,6,"Platform-v0","PPO-PPO",147456,4.0,296,1,"continuous",292864,0.018354103,0.215087890625,0.0003,-0.031246203929185867,0.2,0.8048927187919617,710,-3.3437856093049048,0.9852200727909803,-0.011686263243609574,0.00010055987564925318
1,72,0.36590474,8,"Platform-v0","PPO-PPO",149504,4.0,240,1,"continuous",296960,0.0078933,0.114794921875,0.0003,0.002968232147395611,0.2,0.8023176193237305,720,-3.3172189772129057,0.7520519942045212,-0.005850454830215313,0.0031045716990774964
1,73,0.36714728,8,"Platform-v0","PPO-PPO",151552,4.0,243,1,"continuous",301056,0.016761921,0.191845703125,0.0003,-0.0002681796904653311,0.2,0.8103567957878113,730,-3.3320453256368636,0.9837600085884333,-0.012955196145048831,0.0001507391709353101
1,74,0.30006721999999997,6,"Platform-v0","PPO-PPO",153600,4.0,308,1,"continuous",305152,0.027246717,0.248974609375,0.0003,-0.0073755220510065556,0.2,0.79525226354599,740,-3.3141829788684847,0.9954248066060245,-0.019644565839553253,3.529332761615933e-05
1,75,0.35499064999999996,8,"Platform-v0","PPO-PPO",155648,3.93,240,1,"continuous",309248,0.009510482,0.107470703125,0.0003,-0.008097314275801182,0.2,0.7931646704673767,750,-3.2781913071870803,0.7489849627017975,-0.005799621518235654,0.0032554189463553486
1,76,0.36807299,8,"Platform-v0","PPO-PPO",157696,4.0,232,1,"continuous",313344,0.011376246,0.166162109375,0.0003,0.047690145671367645,0.2,0.8042915463447571,760,-3.2976819865405558,0.9194275662302971,-0.002836793644382851,0.0006168278236742708
1,77,0.24644043,5,"Platform-v0","PPO-PPO",159744,4.0,375,1,"continuous",317440,0.016641688,0.198681640625,0.0003,0.009103205986320972,0.2,0.7867467403411865,770,-3.2857158318161965,0.9804751388728619,-0.0065204636346607005,9.69738463126646e-05
1,78,0.3638697699999999,10,"Platform-v0","PPO-PPO",161792,4.0,194,1,"continuous",321536,0.007002695,0.079931640625,0.0003,-0.010134865529835224,0.2,0.7959622740745544,780,-3.2685167148709295,0.9863915834575891,0.002055370981543092,0.0003512367842560593
1,79,0.36887241000000004,8,"Platform-v0","PPO-PPO",163840,4.0,239,1,"continuous",325632,0.01164167,0.154296875,0.0003,-0.004667265806347132,0.2,0.795408308506012,790,-3.292963947355747,0.9545397199690342,-0.004882964775606524,0.00040874209754093727
1,80,0.31835525,7,"Platform-v0","PPO-PPO",165888,4.0,287,1,"continuous",329728,0.014721632,0.179052734375,0.0003,0.08518759161233902,0.2,0.8018255829811096,800,-3.304178150743246,0.9674860239028931,-0.009719802351901308,0.00027858146843300345
1,81,0.37009555,8,"Platform-v0","PPO-PPO",167936,4.0,237,1,"continuous",333824,0.008610535,0.118115234375,0.0003,0.019368929788470268,0.2,0.796735942363739,810,-3.2948836758732796,0.7438008189201355,-0.00635154215269722,0.0032898788369493557
1,82,0.36965332000000006,8,"Platform-v0","PPO-PPO",169984,4.0,238,1,"continuous",337920,0.008819663,0.104150390625,0.0003,0.0015363986603915691,0.2,0.7940160632133484,820,-3.282047713547945,0.9739173855632544,-0.0008724027575226501,7.530517779841261e-05
1,83,0.24760336000000002,5,"Platform-v0","PPO-PPO",172032,4.0,376,1,"continuous",342016,0.022079803,0.273828125,0.0003,-0.03343541920185089,0.2,0.7926904559135437,830,-3.2799852900207043,0.9978264253586531,-0.021220690972404553,1.1624507485663572e-05
1,84,0.36997763,9,"Platform-v0","PPO-PPO",174080,4.0,221,1,"continuous",346112,0.00940613,0.120458984375,0.0003,-0.004972111899405718,0.2,0.7842496037483215,840,-3.2582472525537014,0.9842503536492586,0.0009017437580041588,0.00033150459657917966
1,85,0.37165938000000004,9,"Platform-v0","PPO-PPO",176128,4.0,223,1,"continuous",350208,0.008213334,0.108203125,0.0003,-0.0018082590540871024,0.2,0.7869599461555481,850,-3.2494738183915617,0.9588926285505295,0.0005590229142399039,0.00039996637092443166
1,86,0.37212973999999993,9,"Platform-v0","PPO-PPO",178176,4.0,226,1,"continuous",354304,0.013416595,0.173046875,0.0003,-0.013465271331369877,0.2,0.7845155596733093,860,-3.252946709096432,0.9962731497362256,-0.00953570170677267,1.0428090297409653e-05
1,87,0.3622768100000001,8,"Platform-v0","PPO-PPO",180224,3.94,235,1,"continuous",358400,0.027756808,0.27822265625,0.0003,-0.04579924792051315,0.2,0.7816247344017029,870,-3.238493001461029,0.9992438636254519,-0.030279531871929066,6.715624447650725e-06
1,88,0.3732718599999999,8,"Platform-v0","PPO-PPO",182272,4.0,235,1,"continuous",362496,0.010005476,0.190185546875,0.0003,0.003199575003236532,0.2,0.7932479381561279,880,-3.2502026192843916,0.8863165080547333,-0.0030064662889344616,0.0008571470353132326
1,89,0.37104623000000003,9,"Platform-v0","PPO-PPO",184320,4.0,225,1,"continuous",366592,0.020174481,0.156640625,0.0003,-0.02158254384994507,0.2,0.7890738844871521,890,-3.26340029835701,0.9604012928903103,0.0005980820875265636,0.00015987190569006772
1,90,0.34919127000000005,7,"Platform-v0","PPO-PPO",186368,4.0,263,1,"continuous",370688,0.022559568,0.1974609375,0.0003,-0.03141406178474426,0.2,0.7935376763343811,900,-3.249812734127045,0.9848792254924774,0.0013923587066528853,0.00012880921232749643
1,91,0.37263535,8,"Platform-v0","PPO-PPO",188416,4.0,234,1,"continuous",374784,0.011131312,0.102734375,0.0003,0.00643915357068181,0.2,0.8000166416168213,910,-3.2619861640036105,0.7725402116775513,0.004853273136541247,0.0028762922294845337
1,92,0.37475490000000006,8,"Platform-v0","PPO-PPO",190464,4.0,233,1,"continuous",378880,0.0070866225,0.142919921875,0.0003,-0.0027895483653992414,0.2,0.7926218509674072,920,-3.2514490336179733,0.9743234012275934,0.0014161324812448583,0.00019684157199435505
