custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
,,1.26,-7.126097810000001,176128,352256,,,7,"continuous",2,519,0.011678942,0.0003,0.25071269273757935,0.2,119.07157897949219,0.7117904424667358,197.6232408940792,850,-4.189438465237617,0.143994140625,-0.00483095855161082
,,1.47,-3.4421515499999997,178176,354304,,,12,"continuous",3,506,0.010129405,0.0003,0.23569422960281372,0.2,62.72331619262695,0.7078676223754883,209.31101533174515,860,-4.161572860181332,0.151220703125,0.0005381762435717974
29,"PPO-PPO",1.4,-3.99874419,180224,362496,1,"Goal-v0",3,"continuous",1,528,0.023289291,0.0003,0.2627671957015991,0.2,88.90570831298828,0.7024219036102295,218.55680298805237,870,-4.131882865726948,0.1453125,-0.0033009956780006176
,,1.36,-4.7085824899999995,182272,364544,,,8,"continuous",2,498,0.016008008,0.0003,0.29059553146362305,0.2,105.83191680908203,0.7023916840553284,187.54448229074478,880,-4.1106625020504,0.162255859375,-0.006157351048022975
,,1.41,-3.5662894,184320,366592,,,12,"continuous",3,485,0.01767205,0.0003,0.27752578258514404,0.2,104.42404174804688,0.6959090232849121,196.3200005888939,890,-4.081927020847798,0.179931640625,-0.0032055778166977687
30,"PPO-PPO",1.4,-4.03677071,186368,374784,1,"Goal-v0",3,"continuous",1,512,0.012878805,0.0003,0.3009337782859802,0.2,106.93309783935547,0.691444993019104,182.5966595172882,900,-4.052142551541328,0.166748046875,-0.009379570656165015
,,1.26,-5.7287187799999995,188416,376832,,,8,"continuous",2,488,0.017210428,0.0003,0.2553582191467285,0.2,108.1101303100586,0.6908159852027893,200.8112395644188,910,-4.030249617993832,0.15791015625,-0.0019541922869393603
,,1.43,-6.0998791300000015,190464,378880,,,12,"continuous",3,492,0.011621142,0.0003,0.32269352674484253,0.2,75.67158508300781,0.6846510767936707,182.8265984416008,920,-3.999865987896919,0.153271484375,-0.002325529570225626
31,"PPO-PPO",1.32,-4.253249800000001,192512,387072,1,"Goal-v0",3,"continuous",1,523,0.012517801,0.0003,0.3003941774368286,0.2,96.97138214111328,0.6803632974624634,215.07412202358245,930,-3.9631505385041237,0.156884765625,-0.005253893752524164
,,1.33,-3.6510190899999997,194560,389120,,,8,"continuous",2,506,0.017910147,0.0003,0.2703508734703064,0.2,93.77874755859375,0.679503321647644,216.59850032329558,940,-3.938563673943281,0.160595703125,-0.005121869129652623
