custom/env,custom/agent_name,custom/seed,rollout/ep_rew_mean,time/total_timesteps,custom/agent_type,time/iterations,rollout/ep_len_mean,time/fps,custom/pamdp_timestep,custom/cycle,time/time_elapsed,train/clip_range,train/std,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss
"Platform-v0","PPO-PPO",1,0.36972212000000004,106496,"continuous",1,4.0,225,215040,17,9,0.2,0.8122348785400391,0.9614099897444248,0.213916015625,-0.003907204790448304,510,-0.005458105821162462,0.023414722,0.0003,0.00039068136079407624,-3.424001607298851
,,,0.37267969,108544,"continuous",2,4.0,217,217088,,18,0.2,0.8249804377555847,0.9785534180700779,0.24140625,-0.0022139047767268496,520,-0.005524399224668741,0.018982291,0.0003,0.0005318681426238925,-3.4466441474854945
,,,0.37531079000000006,110592,"continuous",3,4.0,216,219136,,28,0.2,0.8345928192138672,0.9314287528395653,0.21640625,-0.006584902304166462,530,-0.03230609744787216,0.013626997,0.0003,0.000699833625438373,-3.4695695213973523
"Platform-v0","PPO-PPO",1,0.36160040000000004,112640,"continuous",1,4.0,232,227328,18,8,0.2,0.8458918929100037,0.9699281845241785,0.18798828125,0.0008248122467193753,540,-0.01655527390539646,0.012710681,0.0003,0.00030582660458620123,-3.4953300513327124
,,,0.37007172000000005,114688,"continuous",2,4.0,225,229376,,18,0.2,0.8495280146598816,0.9237706512212753,0.257421875,-0.007608459149196278,550,-0.013997805304825306,0.02485136,0.0003,0.0007752821686750622,-3.521289960294962
,,,0.36621949,116736,"continuous",3,4.0,221,231424,,27,0.2,0.8522008061408997,0.9509205631911755,0.195166015625,-0.003672478008957114,560,0.014210398308932781,0.013082347,0.0003,0.00048384642735754824,-3.5288666181266306
"Platform-v0","PPO-PPO",1,0.3750766300000001,118784,"continuous",1,4.0,226,239616,19,9,0.2,0.8464594483375549,0.940475270152092,0.1572265625,-0.00825426427036291,570,-0.005618516821414232,0.012584606,0.0003,0.0005445702785863204,-3.518160302937031
,,,0.37264185000000005,120832,"continuous",2,4.0,220,241664,,18,0.2,0.8426241874694824,0.9805383961647749,0.178564453125,-0.0018513665680075064,580,-0.008925818838179111,0.015596883,0.0003,0.0001870271059878803,-3.49209319204092
,,,0.37231537,122880,"continuous",3,4.0,219,243712,,27,0.2,0.8263075947761536,0.9539006799459457,0.19873046875,-0.004588665413029958,590,-0.01859813742339611,0.015068928,0.0003,0.0004623381976173846,-3.45132747143507
"Platform-v0","PPO-PPO",1,0.25199116000000005,124928,"continuous",1,3.98,355,251904,20,5,0.2,0.827019453048706,0.9614065550267696,0.1966796875,0.00255819604935823,600,-0.00914720632135868,0.012168029,0.0003,0.00037383887346749135,-3.4194841615855696
